year,month,day,temperature,completeness
2017,1,1,19.2,C
2017,1,2,20.7,C
2017,1,3,19.8,C
2017,1,4,20.2,C
2017,1,5,21.4,C
2017,1,6,21.9,C
2017,1,7,21.7,C
2017,1,8,22.9,C
2017,1,9,20.0,C
2017,1,10,19.0,C
2017,1,11,18.6,C
2017,1,12,18.1,C
2017,1,13,14.5,C
2017,1,14,14.8,C
2017,1,15,14.5,C
2017,1,16,15.4,C
2017,1,17,17.6,C
2017,1,18,18.5,C
2017,1,19,20.5,C
2017,1,20,17.7,C
2017,1,21,16.4,C
2017,1,22,15.9,C
2017,1,23,16.4,C
2017,1,24,16.8,C
2017,1,25,17.3,C
2017,1,26,16.5,C
2017,1,27,17.6,C
2017,1,28,17.1,C
2017,1,29,19.4,C
2017,1,30,19.9,C
2017,1,31,15.8,C
2017,2,1,18.1,C
2017,2,2,15.8,C
2017,2,3,16.6,C
2017,2,4,18.3,C
2017,2,5,19.2,C
2017,2,6,18.2,C
2017,2,7,16.4,C
2017,2,8,17.3,C
2017,2,9,12.8,C
2017,2,10,11.5,C
2017,2,11,13.3,C
2017,2,12,14.3,C
2017,2,13,15.7,C
2017,2,14,17.3,C
2017,2,15,17.5,C
2017,2,16,18.5,C
2017,2,17,20.4,C
2017,2,18,20.0,C
2017,2,19,17.3,C
2017,2,20,21.1,C
2017,2,21,17.8,C
2017,2,22,18.8,C
2017,2,23,17.5,C
2017,2,24,11.3,C
2017,2,25,10.7,C
2017,2,26,13.3,C
2017,2,27,16.6,C
2017,2,28,17.4,C
2017,3,1,19.0,C
2017,3,2,19.0,C
2017,3,3,16.9,C
2017,3,4,18.9,C
2017,3,5,20.7,C
2017,3,6,20.4,C
2017,3,7,17.4,C
2017,3,8,15.3,C
2017,3,9,16.4,C
2017,3,10,17.7,C
2017,3,11,17.3,C
2017,3,12,18.5,C
2017,3,13,21.6,C
2017,3,14,18.5,C
2017,3,15,16.1,C
2017,3,16,17.5,C
2017,3,17,17.9,C
2017,3,18,18.9,C
2017,3,19,19.7,C
2017,3,20,21.4,C
2017,3,21,22.9,C
2017,3,22,18.4,C
2017,3,23,21.1,C
2017,3,24,20.4,C
2017,3,25,19.3,C
2017,3,26,14.6,C
2017,3,27,19.0,C
2017,3,28,20.5,C
2017,3,29,21.8,C
2017,3,30,21.9,C
2017,3,31,19.8,C
2017,4,1,18.2,C
2017,4,2,19.3,C
2017,4,3,20.1,C
2017,4,4,21.5,C
2017,4,5,22.9,C
2017,4,6,23.0,C
2017,4,7,24.3,C
2017,4,8,24.5,C
2017,4,9,25.5,C
2017,4,10,26.7,C
2017,4,11,25.7,C
2017,4,12,19.9,C
2017,4,13,19.3,C
2017,4,14,21.3,C
2017,4,15,23.6,C
2017,4,16,25.1,C
2017,4,17,25.9,C
2017,4,18,26.9,C
2017,4,19,26.7,C
2017,4,20,25.6,C
2017,4,21,25.6,C
2017,4,22,19.7,C
2017,4,23,20.2,C
2017,4,24,20.9,C
2017,4,25,21.4,C
2017,4,26,23.7,C
2017,4,27,21.7,C
2017,4,28,21.0,C
2017,4,29,22.2,C
2017,4,30,23.3,C
2017,5,1,24.4,C
2017,5,2,25.8,C
2017,5,3,26.9,C
2017,5,4,24.4,C
2017,5,5,26.2,C
2017,5,6,27.3,C
2017,5,7,25.1,C
2017,5,8,25.3,C
2017,5,9,26.0,C
2017,5,10,27.2,C
2017,5,11,27.0,C
2017,5,12,27.9,C
2017,5,13,25.7,C
2017,5,14,26.4,C
2017,5,15,25.0,C
2017,5,16,24.4,C
2017,5,17,25.6,C
2017,5,18,25.0,C
2017,5,19,24.0,C
2017,5,20,23.3,C
2017,5,21,23.7,C
2017,5,22,24.3,C
2017,5,23,26.3,C
2017,5,24,24.9,C
2017,5,25,25.4,C
2017,5,26,24.6,C
2017,5,27,25.8,C
2017,5,28,26.5,C
2017,5,29,26.0,C
2017,5,30,26.4,C
2017,5,31,28.1,C
2017,6,1,28.3,C
2017,6,2,28.7,C
2017,6,3,29.8,C
2017,6,4,29.7,C
2017,6,5,29.6,C
2017,6,6,29.5,C
2017,6,7,29.4,C
2017,6,8,29.8,C
2017,6,9,29.3,C
2017,6,10,29.5,C
2017,6,11,29.8,C
2017,6,12,27.3,C
2017,6,13,26.0,C
2017,6,14,28.0,C
2017,6,15,28.8,C
2017,6,16,28.2,C
2017,6,17,25.3,C
2017,6,18,25.8,C
2017,6,19,26.1,C
2017,6,20,26.1,C
2017,6,21,26.9,C
2017,6,22,29.3,C
2017,6,23,28.8,C
2017,6,24,28.4,C
2017,6,25,29.1,C
2017,6,26,29.4,C
2017,6,27,29.3,C
2017,6,28,29.6,C
2017,6,29,29.8,C
2017,6,30,29.2,C
2017,7,1,28.9,C
2017,7,2,28.5,C
2017,7,3,28.0,C
2017,7,4,26.4,C
2017,7,5,28.0,C
2017,7,6,27.0,C
2017,7,7,27.2,C
2017,7,8,27.3,C
2017,7,9,28.8,C
2017,7,10,29.0,C
2017,7,11,29.4,C
2017,7,12,29.4,C
2017,7,13,29.8,C
2017,7,14,28.5,C
2017,7,15,28.6,C
2017,7,16,27.1,C
2017,7,17,25.9,C
2017,7,18,25.8,C
2017,7,19,27.7,C
2017,7,20,28.6,C
2017,7,21,29.2,C
2017,7,22,29.5,C
2017,7,23,26.8,C
2017,7,24,27.9,C
2017,7,25,29.2,C
2017,7,26,29.4,C
2017,7,27,28.7,C
2017,7,28,30.3,C
2017,7,29,31.5,C
2017,7,30,32.6,C
2017,7,31,30.5,C
2017,8,1,30.3,C
2017,8,2,28.8,C
2017,8,3,27.6,C
2017,8,4,27.4,C
2017,8,5,29.5,C
2017,8,6,30.4,C
2017,8,7,30.5,C
2017,8,8,30.2,C
2017,8,9,29.1,C
2017,8,10,29.1,C
2017,8,11,29.9,C
2017,8,12,30.1,C
2017,8,13,29.8,C
2017,8,14,29.8,C
2017,8,15,29.8,C
2017,8,16,29.3,C
2017,8,17,30.1,C
2017,8,18,30.4,C
2017,8,19,30.7,C
2017,8,20,30.8,C
2017,8,21,32.2,C
2017,8,22,31.3,C
2017,8,23,26.5,C
2017,8,24,29.0,C
2017,8,25,28.7,C
2017,8,26,29.4,C
2017,8,27,25.2,C
2017,8,28,25.0,C
2017,8,29,28.6,C
2017,8,30,29.2,C
2017,8,31,29.2,C
2017,9,1,28.3,C
2017,9,2,28.3,C
2017,9,3,27.3,C
2017,9,4,25.7,C
2017,9,5,27.9,C
2017,9,6,28.9,C
2017,9,7,28.3,C
2017,9,8,28.4,C
2017,9,9,27.6,C
2017,9,10,29.1,C
2017,9,11,29.9,C
2017,9,12,30.4,C
2017,9,13,29.8,C
2017,9,14,28.8,C
2017,9,15,29.0,C
2017,9,16,30.4,C
2017,9,17,30.4,C
2017,9,18,29.4,C
2017,9,19,28.9,C
2017,9,20,29.1,C
2017,9,21,29.0,C
2017,9,22,28.8,C
2017,9,23,28.9,C
2017,9,24,28.8,C
2017,9,25,29.0,C
2017,9,26,29.7,C
2017,9,27,30.0,C
2017,9,28,30.3,C
2017,9,29,29.7,C
2017,9,30,28.0,C
2017,10,1,28.2,C
2017,10,2,29.1,C
2017,10,3,29.8,C
2017,10,4,28.4,C
2017,10,5,28.1,C
2017,10,6,28.6,C
2017,10,7,29.0,C
2017,10,8,28.6,C
2017,10,9,29.3,C
2017,10,10,29.7,C
2017,10,11,29.7,C
2017,10,12,29.3,C
2017,10,13,26.2,C
2017,10,14,23.7,C
2017,10,15,22.9,C
2017,10,16,26.8,C
2017,10,17,25.3,C
2017,10,18,25.9,C
2017,10,19,24.8,C
2017,10,20,23.7,C
2017,10,21,23.2,C
2017,10,22,22.6,C
2017,10,23,23.2,C
2017,10,24,24.0,C
2017,10,25,23.8,C
2017,10,26,24.1,C
2017,10,27,24.8,C
2017,10,28,24.6,C
2017,10,29,23.6,C
2017,10,30,21.9,C
2017,10,31,21.2,C
2017,11,1,22.6,C
2017,11,2,23.6,C
2017,11,3,24.3,C
2017,11,4,23.2,C
2017,11,5,22.6,C
2017,11,6,22.7,C
2017,11,7,23.4,C
2017,11,8,24.0,C
2017,11,9,24.3,C
2017,11,10,25.3,C
2017,11,11,24.5,C
2017,11,12,21.7,C
2017,11,13,21.5,C
2017,11,14,22.6,C
2017,11,15,22.8,C
2017,11,16,23.6,C
2017,11,17,24.4,C
2017,11,18,23.4,C
2017,11,19,19.0,C
2017,11,20,18.1,C
2017,11,21,18.5,C
2017,11,22,19.2,C
2017,11,23,17.0,C
2017,11,24,17.1,C
2017,11,25,17.1,C
2017,11,26,19.4,C
2017,11,27,19.9,C
2017,11,28,22.4,C
2017,11,29,23.7,C
2017,11,30,21.8,C
2017,12,1,20.6,C
2017,12,2,19.8,C
2017,12,3,20.7,C
2017,12,4,19.9,C
2017,12,5,18.0,C
2017,12,6,18.7,C
2017,12,7,19.0,C
2017,12,8,17.2,C
2017,12,9,15.2,C
2017,12,10,18.1,C
2017,12,11,18.7,#
2017,12,12,18.2,C
2017,12,13,18.1,C
2017,12,14,19.4,C
2017,12,15,19.5,C
2017,12,16,14.6,C
2017,12,17,11.1,C
2017,12,18,12.4,C
2017,12,19,13.3,C
2017,12,20,15.1,C
2017,12,21,15.1,C
2017,12,22,17.4,C
2017,12,23,19.1,C
2017,12,24,20.7,C
2017,12,25,17.7,C
2017,12,26,17.6,C
2017,12,27,18.0,C
2017,12,28,18.5,C
2017,12,29,19.6,C
2017,12,30,20.1,C
2017,12,31,18.1,C